1240 985 758 362 358 12 427 20 1176 1087 195 1464 1150 271 1389 946 1423 158 1248 591 1172 993 752 188 1334 310 909 234 1552 484 1604 314 801 913 304 386 1597 523 1453 1344 
307 918 69 7 562 279 388 1224 1408 50 1234 384 658 1259 293 1130 849 1340 562 1068 480 593 171 496 1283 313 1510 1152 1331 143 198 555 134 1099 1131 1420 524 1461 1422 398 
1539 663 847 1158 201 1225 489 115 147 1460 544 373 1321 708 137 1398 1481 1015 1277 291 751 1418 1502 726 1269 1564 88 889 464 186 572 1199 950 857 1267 839 853 343 178 992 
7 281 1127 162 696 1090 351 920 1531 415 1163 877 1407 541 549 44 702 976 1422 1549 388 200 724 693 1436 458 163 1525 510 1411 331 1582 382 1086 564 1295 380 1344 1515 334 
360 727 1393 444 1282 1077 496 131 51 1055 863 973 189 47 608 398 229 810 260 794 1101 489 1144 1254 836 1369 1565 115 1454 1444 266 597 892 197 750 1598 1577 1138 322 1134 
596 251 1417 1009 405 951 481 1023 1512 366 1356 1526 1178 469 1004 929 274 1335 1489 215 153 1111 1405 15 690 1415 1101 318 878 203 522 369 1018 829 602 562 712 1257 75 994 
1471 370 573 4 917 1502 1367 262 1466 1085 1033 147 1542 1399 332 1328 1317 381 1209 1352 208 1124 1051 1504 1016 106 459 516 137 1101 729 1295 306 317 1135 633 1238 1446 886 169 
634 1205 1367 1540 182 1430 393 323 378 476 350 542 1008 314 867 500 520 1115 1595 399 57 731 774 1479 556 560 1252 523 1432 218 807 1514 1235 826 1179 400 751 694 337 612 
548 73 1368 62 961 204 219 1349 1316 636 59 402 675 1225 538 450 845 680 995 1559 627 1522 2 568 440 1422 305 1286 903 1598 798 1416 912 168 734 1586 665 134 1382 1125 
1489 273 375 1251 135 993 168 640 1019 786 765 973 1451 1251 141 1519 362 170 422 119 482 974 1256 67 214 852 546 592 1106 1114 1159 110 323 1156 337 462 1388 747 1441 1527 
814 147 1274 1253 1323 676 203 1178 849 774 880 1454 110 238 645 1552 1134 698 1468 812 7 875 522 1122 227 980 822 646 1025 652 55 1081 1257 718 250 1007 1576 81 1521 457 
1134 526 1295 1208 1181 1103 1605 1338 170 550 991 561 1364 711 913 616 1091 811 1205 1179 1125 708 994 981 47 1401 878 998 587 695 1353 510 564 481 41 1297 69 1374 924 1160 
47 625 201 182 97 203 730 427 229 1585 1203 1572 110 46 87 839 1596 1474 188 107 1386 1550 1139 754 1189 647 309 896 96 1305 1238 1006 1151 853 264 1436 196 160 751 1554 
1054 829 82 114 1278 513 1416 873 1427 998 466 1603 1037 474 1088 873 617 822 322 596 306 1008 507 1523 83 823 1558 799 1321 551 1228 374 98 1375 1256 510 512 943 1374 1360 
712 1129 1239 103 988 1215 1544 966 1452 1431 1072 1016 1588 457 1254 1022 1006 227 322 1267 820 174 779 1447 81 1569 1177 718 1550 658 1558 229 1506 1524 1327 680 1426 776 1410 36 
956 300 848 222 1357 1515 1570 167 1486 1452 102 1294 1506 261 1500 105 1086 889 714 1035 917 1444 634 251 1379 720 3 530 49 1407 1207 1022 826 990 1046 974 889 1014 1215 1564 
247 1468 390 384 144 289 183 1120 1506 406 501 153 57 1397 1079 529 1322 816 1091 368 1018 302 1278 72 1548 576 116 99 819 950 263 199 473 290 852 1365 673 867 1058 381 
28 1150 739 1082 1121 222 566 644 1081 1164 117 742 1375 347 504 118 1184 903 4 847 581 1090 1075 127 835 342 1457 1326 723 718 1520 1407 528 1502 526 781 151 635 962 574 
1308 946 382 1488 423 881 613 95 1512 1243 1423 1214 336 331 1423 778 1415 813 579 1058 947 873 121 1188 285 1466 366 427 1435 807 507 903 478 1464 566 1209 270 587 1569 743 
1503 110 918 1008 776 391 1112 986 1261 674 564 266 426 591 361 739 1157 628 1416 1467 325 235 1316 422 873 1325 750 472 10 1492 614 1348 498 407 1406 1449 498 1191 1114 1411 
149 1384 1023 135 1174 227 1068 569 708 1498 1175 1105 82 233 507 945 1603 1158 1475 1011 485 106 1605 320 772 315 1470 378 235 1553 993 652 1393 272 607 1257 64 802 1123 934 
1221 483 1278 426 1588 1563 739 989 1347 273 57 602 418 23 1243 509 944 662 1008 1008 1176 818 1438 229 1557 891 490 579 1219 1083 1156 884 538 1259 1529 170 1378 497 863 1156 
1506 1233 1275 224 870 643 695 1424 610 71 278 298 884 622 1505 1455 521 82 1329 326 811 705 731 834 963 1476 1053 804 1145 600 1468 439 58 1216 1082 827 1042 1563 1576 273 
384 1265 1117 329 10 31 91 790 404 747 156 48 163 208 978 543 1026 8 1285 1118 115 235 345 177 48 1453 1140 46 1030 718 597 176 680 1221 1137 1204 172 1491 1500 1177 
362 1564 331 1033 1190 1463 710 340 354 227 270 647 141 312 1417 236 836 882 1532 428 841 691 147 573 1191 893 643 1404 242 551 842 413 1244 875 1463 1228 594 392 192 209 
1390 62 877 10 517 1080 207 1248 303 1360 409 1171 1089 777 356 1449 145 1274 1372 136 504 797 632 339 335 1259 326 1589 987 486 1582 680 458 939 441 1348 864 325 1557 1011 
982 274 254 518 1477 1388 1132 1184 1557 1384 473 969 1117 1563 391 421 884 1402 730 1208 160 627 1055 704 1456 441 1290 493 163 1199 448 60 1469 18 383 1022 1363 23 510 268 
