43412 32817 40312 42485 51325 46778 45728 37032 35657 31054 
32384 31141 32136 42355 40945 41762 41219 28482 28104 27240 
31775 23428 32107 28427 36966 33802 33085 32513 28766 25699 
32212 24524 27219 32253 37388 33843 33522 30746 26295 27379 
26637 21068 26651 26191 28033 25430 30181 24058 19561 25719 
30162 27285 32625 28984 32931 29364 34886 28514 22090 30816 
22474 21715 24158 31647 36263 35036 30230 32504 26541 21963 
39335 28660 35945 34903 49956 42736 40675 35043 31894 34069 
26866 26924 30440 34984 37995 39313 34491 41645 35190 29668 
36373 20486 30643 24293 39959 31603 31562 28284 27463 25678 

time sequential: 0.335
time thread: 16.127
