735089 782075 651234 541442 496638 574674 574228 523419 600964 590038 519600 532987 404642 629454 687814 639557 796042 604908 786723 446831 
878384 1052336 894404 833680 605686 767787 676443 704130 665497 837525 668386 715777 625424 951151 815108 798891 922742 733724 1090780 566637 
922204 1127461 860568 810130 582089 765402 871321 736629 836834 880953 754290 860861 554949 815208 1002764 914341 941698 839649 1122604 659056 
919122 1041496 885887 806563 592996 679223 789070 728657 726911 881673 698572 808557 476650 748433 840175 737233 877046 740993 1125626 573639 
871097 1105719 804576 703593 672060 835531 689700 681804 728006 672464 604907 850504 558094 815745 1027048 902244 878573 839374 988851 763391 
729968 827781 627694 698530 496116 590187 630461 608459 524781 669316 538054 662876 438037 753748 713352 685437 700271 666723 870224 475206 
1287413 1249114 1118398 991158 733592 944927 1016354 920477 928046 1041259 938511 1023845 721970 1080288 1162798 973869 1104974 1053523 1426313 777307 
849080 938091 906520 656744 498779 779552 662460 635156 672262 780451 598365 761311 617923 815706 906838 771103 978475 765633 830899 728911 
877379 1031976 659564 702767 689706 674365 730132 713872 733676 815958 601661 731638 557038 691065 826236 751670 754786 797151 1062440 438330 
1010254 1221238 904741 723284 764273 897828 679421 822624 772680 861068 610349 891967 745657 890608 1007854 907991 938770 899764 1086568 744782 
741070 887312 726173 761074 454220 729384 659868 646986 579039 759434 684204 677708 468687 779930 807647 799951 821049 662366 978623 501186 
990151 1062192 912270 863851 670464 716812 854738 684087 809756 860802 744947 799665 584267 913961 858389 757158 910013 863706 1162831 604873 
707306 813007 702713 669582 459814 605175 537572 559054 468492 686378 576520 633439 595006 793636 627908 602353 659695 620720 826120 529295 
947801 1087045 1015410 847982 782153 858981 731861 750829 751430 870192 711936 889197 602816 939019 925354 771885 974593 846859 1145153 726298 
964193 1146399 884203 892291 760807 902665 839523 768391 761859 891775 743815 918726 627564 966183 997298 953192 982004 931088 1098047 785757 
903009 947124 831908 799911 622986 799880 746670 720691 669376 790286 737753 755366 541927 827623 919130 779631 873586 790860 1118966 537311 
813703 965371 645399 679499 525377 546439 667694 639325 660638 741365 638282 724584 503744 682889 705329 681687 769534 741569 917227 533236 
958041 1021335 706358 748397 470495 684913 815034 709321 652296 801213 716340 758580 507487 773872 916233 910405 936602 778266 1058415 526129 
889825 994136 724126 720819 658389 763449 605761 844191 589996 925941 672590 744373 629993 788358 832756 797369 843185 751320 1026864 458764 
1036144 1005459 982561 827652 742767 852197 725765 780985 702741 836987 697703 731442 574292 896859 933621 760823 933216 803456 1187948 549339 

time sequential: 2.565
time thread: 59.134
