212 116 602 570 509 536 107 254 383 110 322 318 89 316 344 98 324 430 500 564 
558 669 56 674 195 580 289 607 128 252 475 137 513 584 376 623 333 398 476 367 
397 269 652 225 163 551 346 253 547 653 627 265 284 342 353 579 517 456 246 601 
478 586 562 322 406 529 137 515 260 294 213 351 345 466 662 462 300 277 300 366 
536 416 161 349 468 107 508 391 722 694 321 735 203 141 118 445 421 578 771 59 
636 486 274 264 161 341 623 281 378 425 313 146 99 483 163 322 497 341 626 225 
137 534 448 674 544 474 159 444 354 337 498 290 352 652 73 654 501 388 400 424 
726 477 714 463 90 59 555 539 363 373 170 576 247 472 190 425 316 188 685 288 
455 574 171 310 441 319 390 273 706 305 237 470 427 517 408 396 614 561 351 549 
240 628 158 506 373 253 539 361 544 486 157 711 330 438 488 606 258 107 630 250 
430 409 222 348 218 670 64 351 44 395 702 95 136 632 354 545 433 458 503 163 
571 434 252 245 478 644 357 584 428 131 189 195 387 338 497 708 658 539 393 434 
206 362 276 414 259 397 288 519 360 444 349 196 769 551 216 234 243 264 382 54 
531 408 324 291 401 282 361 601 465 351 249 492 504 264 511 495 192 160 408 71 
298 534 498 510 428 492 510 198 462 683 502 153 129 113 245 339 572 102 483 586 
359 507 449 278 88 516 280 305 572 620 390 686 519 333 501 447 475 573 347 367 
418 369 396 455 741 376 534 427 463 325 454 215 110 224 377 323 185 528 375 290 
227 633 432 431 123 342 433 364 484 472 683 435 7 365 214 395 285 523 458 265 
412 628 489 258 414 370 207 405 279 601 370 522 500 674 607 350 449 408 257 556 
553 381 131 566 488 418 308 523 194 403 359 375 448 616 337 483 673 505 447 142 

time sequential: 0.25
time thread: 53.051
