7 100 403 262 231 316 70 158 253 83 131 163 2 242 261 37 300 157 272 177 
287 276 52 293 3 282 113 272 9 233 283 128 291 291 162 311 273 278 316 47 
240 94 386 95 22 190 224 119 247 259 385 186 196 50 229 178 345 151 34 390 
215 387 371 104 85 203 57 140 131 4 70 136 268 256 364 236 160 16 249 324 
355 380 81 105 361 3 152 386 393 400 56 348 83 9 67 72 171 312 376 0 
403 192 176 200 73 152 354 45 149 105 154 120 39 272 123 262 302 194 395 54 
43 323 115 302 275 78 41 46 29 24 93 259 139 372 3 284 97 122 104 389 
391 161 372 322 15 11 359 181 91 370 160 246 77 390 155 47 269 169 350 79 
319 398 161 111 100 111 305 175 349 126 157 310 232 243 325 119 233 398 346 188 
46 333 60 190 79 54 260 323 167 361 50 403 58 107 356 306 51 99 232 139 
272 19 103 209 199 332 10 188 33 7 308 93 38 388 158 164 341 272 348 11 
379 349 136 24 229 334 128 203 76 117 50 192 158 104 377 376 367 235 224 174 
156 21 193 205 256 237 14 227 88 333 263 146 392 356 24 15 134 208 232 20 
138 394 219 88 202 94 53 240 185 217 23 97 184 60 216 187 7 24 269 21 
51 260 326 263 259 236 127 112 69 363 282 149 77 65 16 56 170 63 164 233 
62 387 312 147 49 241 216 100 395 255 156 315 154 90 381 286 249 189 199 339 
385 79 149 287 385 349 281 179 75 200 272 124 98 109 229 132 51 319 345 63 
186 291 124 351 24 46 340 63 287 83 399 74 2 128 185 197 191 216 399 47 
342 265 328 84 154 345 179 209 173 240 26 239 181 286 384 287 340 289 93 326 
169 278 54 198 231 192 264 162 178 329 141 89 162 256 224 396 369 184 147 24 
