823 5443 4843 678 2811 118 4047 2424 2334 545 4220 3618 4365 783 2188 4905 837 380 3119 398 1717 2148 618 4557 3488 838 1704 3228 2008 3732 2191 3250 160 97 248 3619 2183 1412 2247 2277 1383 193 5218 4031 2131 1293 1415 1994 2992 4331 2976 3972 2373 5528 3578 4603 879 1241 4961 3514 5499 2401 4520 2189 1176 1532 1239 4872 631 4216 4113 1872 1033 338 5064 
230 480 648 5090 2844 2812 879 425 1432 143 4034 4244 1118 1602 2995 2519 2659 2010 1555 476 1887 2325 4129 1361 4515 3277 5560 1204 5266 4276 3218 2126 788 1473 1799 4216 16 1701 346 3993 2707 411 3173 1894 410 514 2877 2405 3091 3454 2892 3604 1204 2403 5034 4415 1286 749 4926 2935 4018 4148 62 168 5056 508 5252 4273 1629 1767 4722 3620 4761 2500 1156 
843 1067 5378 5121 153 2436 2032 4414 1121 3583 250 85 4343 988 1578 911 3242 4480 4160 4833 3989 3479 4205 1625 3620 3393 1310 12 3231 5444 5265 2894 1091 3378 999 2097 3455 4575 4402 4117 1070 1146 1856 327 1893 2933 1571 1143 2115 1912 112 65 3196 4805 3774 3041 1723 3713 2879 782 3584 2302 4985 2025 4297 1196 308 3312 5400 1221 4997 4564 3899 1556 2915 
4324 4786 3349 3701 3576 364 4225 4266 4699 2982 500 3340 2749 2327 4627 3278 2373 2252 4385 2233 3955 306 3459 1395 4789 4540 1315 2296 747 3100 4547 2571 554 2715 1690 823 1264 3128 3535 3369 1435 5411 4156 4810 2377 3405 4903 4460 1542 2964 2728 2215 1370 4349 4708 1845 3871 1820 1189 621 2981 2701 1424 3359 3077 4651 741 313 1404 3623 2083 1251 3659 1845 3906 
4808 1200 3481 4307 4909 241 4756 3233 2797 2023 5494 5002 3374 3828 4279 796 601 1751 4871 3220 3610 2209 4918 5211 2821 588 1998 3151 2009 1914 2809 1553 3492 3018 4652 1238 2758 5483 176 4086 3130 4963 1616 4346 2668 2989 3237 833 3236 1482 3084 1751 2587 1528 3509 5012 2036 510 4793 23 2133 3150 2978 3145 972 2876 4633 190 386 1572 2058 1183 2710 3840 4734 
5014 5288 2563 355 4421 134 1748 4556 1420 1869 958 58 2464 891 2774 480 22 5344 1370 4953 4960 3564 199 2751 4817 5413 3150 1645 1745 4664 5526 3488 540 4617 4310 4156 2799 3456 639 4773 1126 1987 3974 1527 3782 2600 3775 565 2781 5430 4181 723 2312 1802 3768 3200 2781 2550 199 5608 2499 4317 2382 1062 2319 2946 3627 1295 2819 2999 5614 1073 1425 3656 4470 
3596 1699 1309 1491 2614 1169 398 2340 1892 4557 1888 2477 110 5072 1045 3152 5427 4414 4606 1960 714 4455 2968 939 3421 4847 1523 4631 4695 262 3020 335 1957 278 540 630 193 365 4927 2293 1159 2919 5429 4755 294 3930 4464 1886 555 2804 1604 793 2489 625 3465 5000 2246 321 4499 4650 3350 3893 1684 5407 516 3209 116 3957 5232 4188 3726 4287 2241 1689 1864 
5416 2230 4989 1257 3814 2374 445 5505 5030 823 4469 2730 3661 1927 5167 2583 3380 2934 4003 1762 5171 3930 1975 2462 5316 1217 5046 4119 525 1544 2974 2743 1522 1046 2870 1266 2182 4653 1679 500 716 4085 811 5628 3051 3072 5000 3662 2410 577 1350 3444 2257 4101 2655 5254 307 2176 822 3641 3727 630 4253 5279 849 1331 5233 578 4923 4921 843 2848 2475 201 166 
4559 3753 4137 3282 2746 2415 1045 2339 2079 3841 2671 2311 1529 727 4517 1616 1106 2770 1729 5141 4370 4774 1388 3935 653 3180 3826 4593 2071 1710 2925 923 4271 1181 2736 461 5185 3095 1369 3286 3817 2075 842 3015 2578 1522 838 490 3123 529 4526 323 3429 2917 1442 1786 2617 5607 976 1593 3315 805 2776 1827 5095 962 1472 1154 5312 631 1066 5301 2201 1994 1839 
5418 1845 1051 3622 715 5072 4602 3052 3281 699 2024 1182 1332 1808 3091 3938 248 1515 3682 735 1347 286 2496 1181 2194 665 4695 4385 5619 87 281 1373 1303 825 1783 2371 3579 2388 3615 4890 1817 3489 1120 918 4514 111 2429 2615 991 1032 544 5065 3961 1490 254 3503 2593 5454 890 3989 1900 247 4980 2908 3362 1994 3435 1602 2497 3624 1486 2459 115 688 5052 
