619 1936 2422 994 900 151 808 1693 492 95 63 1642 2215 2274 663 409 2371 499 663 744 412 718 1086 1008 760 1074 1037 796 1410 137 1702 8 553 1622 493 2352 56 1741 1599 2406 1682 840 1342 763 1478 110 1914 2126 452 2131 
444 2032 1499 977 1529 1441 238 2392 312 874 2033 1016 1782 2469 407 1108 308 850 1889 189 328 1223 212 458 1782 1305 2134 1791 1298 2050 346 1840 577 1865 1469 566 159 2502 1589 302 289 933 1452 1510 47 606 1721 1982 1276 929 
320 145 695 153 2244 204 27 1648 882 1892 247 1923 1166 1885 1490 2128 134 2294 1172 1937 715 1783 2405 1288 777 791 2424 1188 844 1610 2138 1693 494 545 788 1700 724 28 1111 1317 1982 1983 1734 2308 151 1313 433 2257 98 1663 
860 305 93 2210 694 773 1399 898 279 1450 1497 1445 319 1458 732 787 2266 726 81 142 1194 1471 185 1557 608 1126 168 1459 246 793 444 1613 1194 1231 688 1658 1456 923 1627 2087 1925 2437 1344 2385 731 168 1685 2276 674 436 
2160 958 15 728 1581 1173 338 1845 576 894 2011 1748 1454 1423 883 843 1014 1745 1730 1829 995 113 2240 1391 1830 2199 1786 1572 677 1123 1710 984 2378 1593 1258 555 2282 1272 1579 1106 163 774 1817 67 2318 53 128 2079 498 1066 
1715 1770 1128 2415 371 2393 1655 1883 446 1242 321 1285 1134 678 416 1864 2114 906 1440 1326 542 260 1904 2027 242 2416 491 345 749 2118 1192 2298 39 155 1063 1824 1691 823 1432 820 2181 1812 1722 632 304 1309 1716 2157 862 1771 
1685 19 111 716 1888 2239 1940 1511 2305 64 1627 514 1449 2133 730 657 1742 1390 1578 2351 1594 1819 2315 2394 1447 2278 753 2176 2379 1062 1086 930 856 1388 691 803 2085 1456 1231 1942 888 1600 2354 1604 1592 1687 1837 1629 867 845 
1215 1839 1309 438 599 1650 248 1571 362 20 486 2160 1542 952 1538 1904 1955 1972 1062 2040 307 320 755 643 2401 934 1768 251 989 1844 2276 1846 167 1341 1519 1011 783 2442 1522 684 681 2181 80 235 2002 833 1104 236 46 2045 
319 714 1741 2338 1041 627 1164 2214 576 473 2307 1408 2264 1258 2227 901 630 1958 1329 1672 1124 1828 278 1592 1032 668 1166 1822 891 510 2184 67 1457 805 309 1087 2246 913 1902 1637 1812 2172 189 948 2024 1061 1894 1494 235 848 
2449 1595 2321 1620 1540 2041 2027 268 1798 691 2080 626 1757 1136 1202 73 850 1006 355 1564 531 2041 2377 902 1776 1186 984 187 254 673 2044 1681 2478 2480 741 2363 966 475 390 1680 1665 592 540 2089 632 225 1715 2374 1620 964 
1974 2310 1062 1975 818 602 1318 912 511 544 2426 1757 2086 694 267 619 856 2062 1807 368 2094 1831 912 1280 516 2398 691 86 654 1533 2249 50 1574 2141 629 107 577 188 1363 1914 677 1080 815 828 801 1182 1362 42 1222 2492 
2307 2124 1863 581 336 539 242 850 1650 1934 921 1306 1603 1030 1052 480 2079 2417 31 38 1136 1045 1394 7 184 366 430 667 2341 697 776 103 2173 2270 1940 1678 238 1052 902 2396 1675 1599 1530 1549 2020 732 1277 1261 380 246 
1318 2108 1234 2348 115 1032 1814 2256 162 1847 2429 1899 1012 2398 1094 1889 1654 1563 2042 921 127 2299 343 424 140 1991 2383 151 1028 888 2161 1957 527 2441 1103 441 1226 696 1076 1001 2381 1134 2024 1376 205 1370 308 1147 1954 1590 
16 1774 1296 655 526 2297 1306 2437 1765 1143 1512 1194 1093 2376 1635 1789 1648 788 925 2168 1793 68 828 1881 609 1807 173 1889 2226 125 1234 2284 1868 2139 294 1994 1608 582 18 1557 49 1847 1639 1725 2081 549 2100 2222 733 2143 
1699 2017 1993 1173 500 2279 113 1831 1378 394 1450 354 1801 2087 2223 692 100 346 1027 2040 2117 1917 1359 752 865 37 608 1257 1570 2035 1646 2199 1241 1705 2346 1773 244 268 531 972 856 2284 224 2421 279 221 1330 186 432 888 
260 458 627 1907 570 1034 2004 2095 639 85 1658 1574 500 1886 1537 531 812 184 1986 94 91 1500 1037 1866 1551 4 1625 1417 1427 2359 155 1965 1809 1244 611 648 2401 1390 2131 1100 654 2385 974 2179 1160 425 712 1804 2159 1315 
1884 297 1134 1730 1302 991 325 1148 1649 948 403 1783 1162 1216 1665 1137 1520 2011 2496 1967 807 829 526 1658 206 2037 1526 746 264 806 1375 2255 737 549 1340 2205 1980 2454 1876 2036 1057 1486 826 1463 198 365 2502 1598 12 649 
2145 1257 167 1716 631 2 1494 1130 2401 1848 229 1714 2073 1955 241 1450 27 38 202 167 2018 658 1686 1061 1152 172 1282 2161 289 2242 432 1588 1553 998 1059 1266 302 2274 315 2459 255 626 1291 1716 1357 1272 2166 1995 2436 1443 
2165 353 1271 2321 313 1463 289 1027 1875 770 897 30 1139 2037 1514 1646 341 829 2437 887 1646 2172 2356 908 1436 1911 1912 1630 2168 11 372 1939 146 464 682 1679 659 188 1684 1825 2426 2017 564 1462 974 513 604 1223 1415 579 
1484 646 1979 2112 1156 187 1548 1143 2119 562 2021 2267 240 2002 201 159 2020 903 2386 2249 1522 873 2026 1892 428 2446 950 2420 158 2122 1706 2015 538 1409 593 423 133 186 1158 1653 1258 1642 877 269 2149 1030 1257 1197 239 2033 
