1073 3496 4423 3499 3077 857 2117 3256 648 1909 1884 2752 2909 4019 1649 466 2447 576 2228 2252 2151 923 2524 2107 1992 2381 3113 3147 3253 885 1747 1559 2667 2226 582 4844 2466 2300 3628 4453 3441 3046 3261 818 2561 1078 3659 3466 1014 3810 
1123 4230 3322 3052 2894 2010 2304 3750 944 1293 3913 3489 3892 4075 1791 2566 1484 1483 2659 477 2002 3099 657 1605 2059 3264 4537 4036 1707 2450 1331 3329 1913 3123 3224 1426 190 3589 2475 2195 729 1624 2123 2135 241 2737 2470 3538 3196 2645 
1408 375 793 538 3140 917 1203 3422 2694 2477 1638 3694 3098 2236 3786 4589 2159 3137 3387 3770 2524 4114 4653 2369 2498 3278 2983 1495 1159 3931 4182 2979 2300 2604 3034 4174 1300 900 1119 1453 4101 3647 2020 4311 1870 1416 1285 3376 1840 3885 
1975 2231 2182 3459 1178 2171 3851 2924 1575 2090 2353 2263 686 2523 1259 1240 3099 2962 2279 483 2180 3858 2331 2221 2098 2845 553 3715 2103 2546 766 2319 3517 1740 2932 1948 2917 1622 1815 4230 4149 4541 3621 3083 1704 2489 2028 3122 2755 1261 
3901 1087 2100 2668 3593 2124 531 2168 1663 2896 4119 2930 3638 2001 1434 1593 3345 2867 3214 4083 2683 190 2776 2728 4025 2703 3670 3246 1185 1551 2336 1663 4556 3765 1321 1316 2511 3042 3958 1254 1793 2856 2827 268 4754 270 921 4218 833 3410 
2115 2482 2286 4509 820 4887 4107 3533 2665 3416 2473 2023 3436 851 551 2240 3416 1635 2440 3176 985 2387 3831 3135 2426 2475 2912 2760 2119 2953 3229 4251 2365 2612 2017 2399 2007 1982 3508 2618 3328 2544 3078 2212 1853 2767 3515 2396 994 3448 
2832 1757 630 3004 4279 4141 2621 3961 3573 371 2922 1013 2212 2535 1953 1954 3358 1768 3108 4813 3037 4109 4232 3394 2110 4567 2859 3316 4117 1868 2991 3003 2050 2096 1801 1864 3576 2848 1788 4144 1891 2841 3034 2480 3364 2494 3844 4108 3236 2497 
3713 3148 2463 822 3005 1713 1362 4019 607 528 2252 3504 3258 1670 1603 3436 3137 3513 2593 4342 325 526 2097 1872 3474 3138 2453 1701 3051 3083 3189 2379 2585 2302 2664 2876 2579 3535 2469 766 871 3041 1613 2393 2649 1500 3413 2338 979 4084 
403 1328 2670 4723 1791 1862 2619 3523 928 796 4803 2925 3639 1816 3279 2122 2229 4202 1359 2122 3072 2223 707 1776 2540 822 2482 2391 1575 1227 2923 1250 1565 2415 2419 2014 4603 2399 3888 2858 4286 3090 2176 2481 2983 1353 3486 3856 1094 2696 
3670 4032 3860 1949 3901 3721 3602 1378 3892 830 3302 2470 2450 3503 1768 163 2862 2310 2510 3358 1527 2799 4504 1662 4112 3502 1440 1599 382 1148 4139 3309 3261 2914 1735 4378 2886 943 2210 3601 2328 895 2517 2978 2464 1270 2277 3418 3331 1408 
3789 3639 1580 2920 1606 1145 1671 3362 1061 1728 3108 2826 4055 942 717 1268 3050 4459 2354 1686 3824 2447 2387 3652 2924 3544 1698 552 2142 3313 2584 579 3136 3771 2689 1744 2312 1642 1845 3173 1924 3482 3154 1664 2042 2984 1953 110 2421 4841 
4216 3881 3790 2420 627 1395 857 1191 2571 3034 3382 2776 3732 1835 1613 2836 2162 4207 2457 1542 3111 2458 1619 2249 1784 922 1561 2903 3050 1008 1938 2210 4667 2355 4220 3518 2733 2747 964 4109 1744 2362 1759 3437 2661 2281 1778 2549 746 1942 
3541 3543 3568 2500 592 2314 2401 3123 1578 2477 3310 4144 1651 3339 1552 4241 3495 2702 2975 2585 875 2809 348 720 526 3355 3204 2279 1506 973 3972 4190 1468 3430 3159 2697 3081 1307 2369 1111 3449 2137 2666 1675 2507 2116 2371 1970 4263 3282 
322 4243 1315 2846 1281 3226 2931 4338 2117 1426 2646 2274 2421 2557 2357 2175 2522 1924 1535 3325 2325 875 2348 2674 678 2337 1972 3244 3516 599 2523 3520 4135 3605 2762 2083 2600 1665 185 3389 1155 4035 3509 1749 3162 641 3227 4367 2679 3653 
2581 4024 2760 3068 803 4581 2262 2688 3851 535 2848 1176 2468 4191 3743 805 528 2355 1043 2986 3161 4264 2690 956 2613 781 2079 1747 3646 3500 3686 3781 1300 1755 3780 1958 1839 768 1761 2763 1979 3694 2087 4255 1549 1404 3825 2362 2383 2636 
1523 515 3050 4100 1165 1925 3614 3415 1552 2142 3866 1600 2960 3781 1653 1403 2877 2673 3920 1186 1806 2119 2460 2109 2310 982 4015 1849 3546 3089 994 3226 4220 2312 1184 1000 2838 3414 2599 1621 1887 2762 1327 4033 2462 1143 2153 3559 3261 2144 
2852 2153 3634 3111 2674 3417 1108 2570 3748 2610 580 2730 1765 1229 2346 1241 3795 3219 2718 2052 2430 2477 1038 3282 1610 3703 2411 2962 713 928 3384 2801 2722 2027 2236 4255 3870 4923 3332 3720 2737 1968 2748 2901 500 377 3017 3499 280 1329 
